eid,location,start_day,start_time,end_time,total_time,shift_title,event_id
3197165,"Indianapolis, IN",3/13/19,3:04 PM,8:00 PM,4.94,Indiana Flower & Patio Show ,280.IND0319
3055318,"Indianapolis, IN",3/14/19,9:25 AM,7:23 PM,9.96,Indiana Flower & Patio Show ,280.IND0319
3078104,"Indianapolis, IN",3/15/19,9:26 AM,3:52 PM,6.42,Indiana Flower & Patio Show ,280.IND0319
3078104,"Indianapolis, IN",3/17/19,9:28 AM,5:17 PM,7.82,Indiana Flower & Patio Show ,280.IND0319
3095878,"Austin, TX",3/6/19,11:02 AM,2:15 PM,3.22,HFC: Volusion Health Fair ,281.AUS0319
2984015,"Austin, TX",3/6/19,11:02 AM,2:32 PM,3.5,HFC: Volusion Health Fair ,281.AUS0319
3157100,"Jacksonville, FL",3/25/19,12:07 PM,2:30 PM,2.38,Amazon Health Fair ,281.JAX0319
3066357,"Jacksonville, FL",3/25/19,5:26 PM,7:45 PM,2.32,Amazon Health Fair ,281.JAX0319
3157101,"Jacksonville, FL",3/25/19,5:28 PM,7:37 PM,2.15,Amazon Health Fair ,281.JAX0319
3108120,"Jacksonville, FL",3/27/19,5:27 PM,8:12 PM,2.74,Amazon Health Fair ,281.JAX0319
3082247,"Jacksonville, FL",3/27/19,5:40 PM,8:03 PM,2.39,Amazon Health Fair ,281.JAX0319
3100045,"Jacksonville, FL",3/29/19,11:42 AM,2:16 PM,2.57,Amazon Health Fair ,281.JAX0319
3066357,"Jacksonville, FL",3/29/19,11:43 AM,2:13 PM,2.51,Amazon Health Fair ,281.JAX0319
3157101,"Jacksonville, FL",3/29/19,5:27 PM,7:32 PM,2.08,Amazon Health Fair ,281.JAX0319
3066357,"Jacksonville, FL",3/29/19,5:52 PM,7:44 PM,1.85,Amazon Health Fair ,281.JAX0319
3055332,"Phoenix, AZ",3/26/19,9:27 AM,1:01 PM,3.57,"South Bay Circuits, Inc. Health Fair ",281.PHX0319
3091419,"Phoenix, AZ",3/26/19,9:29 AM,12:37 PM,3.13,"South Bay Circuits, Inc. Health Fair ",281.PHX0319
3116251,"Phoenix, AZ",3/26/19,9:29 AM,12:57 PM,3.46,"South Bay Circuits, Inc. Health Fair ",281.PHX0319
3111536,"Atlanta, GA",3/13/19,6:25 PM,11:00 PM,4.58,Atlanta Gladiators ,282.ATL0319
3051745,"Atlanta, GA",3/15/19,6:26 PM,11:00 PM,4.56,Atlanta Gladiators ,282.ATL0319
3051745,"Atlanta, GA",3/17/19,2:00 PM,6:36 PM,4.61,Atlanta Gladiators ,282.ATL0319
3055297,"Atlanta, GA",3/17/19,2:01 PM,6:24 PM,4.39,Atlanta Gladiators ,282.ATL0319
3132516,"Atlanta, GA",3/27/19,3:00 PM,9:48 PM,6.8,Atlanta Gladiators ,282.ATL0319
3197167,"Atlanta, GA",3/27/19,6:47 PM,9:47 PM,3.0,Atlanta Gladiators ,282.ATL0319
3193179,"Dallas, TX",3/22/19,9:55 AM,2:18 PM,4.39,"Shermco Industries, Inc. Health and Lifestyle Ex ",283.DFW0319
3193180,"Dallas, TX",3/22/19,9:55 AM,2:19 PM,4.4,"Shermco Industries, Inc. Health and Lifestyle Ex ",283.DFW0319
3030047,"Phoenix, AZ",3/27/19,9:55 AM,1:24 PM,3.48,Circle K Headquarters Health Expo ,283.PHX0319
3116251,"Phoenix, AZ",3/27/19,9:57 AM,1:23 PM,3.44,Circle K Headquarters Health Expo ,283.PHX0319
3055332,"Phoenix, AZ",3/13/19,7:58 AM,11:06 AM,3.14,Martix Absence Management Health Expo ,283.PHX0319
3116251,"Phoenix, AZ",3/13/19,7:58 AM,11:08 AM,3.17,Martix Absence Management Health Expo ,283.PHX0319
3075167,"Phoenix, AZ",3/13/19,7:59 AM,11:10 AM,3.19,Martix Absence Management Health Expo ,283.PHX0319
3030047,"Phoenix, AZ",3/20/19,9:57 AM,10:19 AM,0.37,Origami Owl Health Expo ,283.PHX0319
3059121,"Phoenix, AZ",3/20/19,9:57 AM,10:18 AM,0.36,Origami Owl Health Expo ,283.PHX0319
3055332,"Phoenix, AZ",3/22/19,9:55 AM,1:11 PM,3.27,Origami Owl Health Expo ,283.PHX0319
3059121,"Phoenix, AZ",3/22/19,9:55 AM,1:10 PM,3.25,Origami Owl Health Expo ,283.PHX0319
3030047,"Phoenix, AZ",3/22/19,10:00 AM,1:11 PM,3.18,Origami Owl Health Expo ,283.PHX0319
3091433,"Santa Ana, CA",3/20/19,12:55 PM,4:26 PM,3.51,Big Canyon Country Club Health & Lifestyle Expo ,283.SNA0319
3100050,"Santa Ana, CA",3/20/19,12:57 PM,4:07 PM,3.17,Big Canyon Country Club Health & Lifestyle Expo ,283.SNA0319
3201205,"Santa Ana, CA",3/20/19,1:00 PM,4:04 PM,3.06,Big Canyon Country Club Health & Lifestyle Expo ,283.SNA0319
3100050,"Santa Ana, CA",3/6/19,8:55 AM,1:28 PM,4.56,Brandman University Health Fair ,283.SNA0319
3091433,"Santa Ana, CA",3/6/19,9:47 AM,1:38 PM,3.85,Brandman University Health Fair ,283.SNA0319
3147202,"Jacksonville, FL",3/6/19,8:30 AM,2:58 PM,6.47,UNF Market Days ,284.JAX0319
3100045,"Jacksonville, FL",3/6/19,8:30 AM,2:31 PM,6.02,UNF Market Days ,284.JAX0319
3157100,"Jacksonville, FL",3/13/19,8:30 AM,2:11 PM,5.68,UNF Market Days ,284.JAX0319
3091408,"Jacksonville, FL",3/27/19,8:30 AM,2:33 PM,6.05,UNF Market Days ,284.JAX0319
3157100,"Jacksonville, FL",3/27/19,8:40 AM,2:10 PM,5.51,UNF Market Days ,284.JAX0319
3108120,"Jacksonville, FL",3/8/19,1:55 PM,10:58 PM,9.05,UNF Softball Osprey Classic ,284.JAX0319
3100045,"Jacksonville, FL",3/9/19,1:55 PM,9:00 PM,7.09,UNF Softball Osprey Classic ,284.JAX0319
3108119,"Jacksonville, FL",3/9/19,2:00 PM,8:15 PM,6.24,UNF Softball Osprey Classic ,284.JAX0319
3066359,"Jacksonville, FL",3/10/19,2:00 PM,10:00 PM,8.0,UNF Softball Osprey Classic ,284.JAX0319
