date_sign_up,customer_id,initial_sales_order_nr,customer_name,first_product_sku,first_product_name,voucher_code
1/23/2019 17:44,14133227,224277973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL019FIT
1/23/2019 17:47,14133488,297277973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL043EVT
1/23/2019 17:49,7821372,231277973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX003TRI
1/23/2019 17:50,14133564,292677973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN084FIT
1/23/2019 17:53,14133648,227677973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,JAK032FIT
1/23/2019 17:54,14133690,285677973,,US-CP-4-2-0,Classic - 4 meals per week for 2 people,PLN027RES
1/23/2019 18:01,14133837,258977973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT021EVT
1/23/2019 18:05,14133977,296877973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN084FIT
1/23/2019 18:05,14133958,286877973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN024FIT
1/23/2019 18:06,14134033,238877973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN090FIT
1/23/2019 18:10,14134066,243877973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT021EVT
1/23/2019 18:12,14134156,228777973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PLN026EVT
1/23/2019 18:19,14134244,247577973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW039FIT
1/23/2019 18:23,14134432,289177973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT035EVT
1/23/2019 18:24,14134486,267177973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,DEN090FIT
1/23/2019 18:31,14132591,275377973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT007FIT
1/23/2019 18:34,14134768,256457973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN084FIT
1/23/2019 18:48,14135168,245657973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT021EVT
1/23/2019 18:53,14135333,211957973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PLN027RES
1/23/2019 19:05,14135700,221757973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX015TRI
1/23/2019 19:13,14135917,243557973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN008EVT
1/23/2019 19:27,14136241,287357973,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,CLE015RES
1/23/2019 19:37,14136445,231417973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SEA005MAL
1/23/2019 19:37,14136475,273417973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN031FIT
1/23/2019 19:56,14136728,289917973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA069EVT
1/23/2019 19:56,14136863,217917973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PLN027RES
1/23/2019 19:58,5415940,211917973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,DEN062FIT
1/23/2019 20:20,14137336,281717973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN099FIT
1/24/2019 4:25,14140088,292836773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL033RES
1/24/2019 5:50,14141045,229449773,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,JAK033FIT
1/24/2019 7:16,14142292,244429773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 7:17,14142316,214429773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 7:23,14142394,252229773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG051MAL
1/24/2019 7:26,14142443,215229773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 7:33,14142590,253629773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PTG035EVT
1/24/2019 7:35,14142585,249929773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 7:36,14142575,228929773,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,JAK016FIT
1/24/2019 7:46,14142787,283829773,,US-WINEM-6-0,Wine box Mixed - 6 bottles,ATL043WIN
1/24/2019 8:12,14143288,246469773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG028MAL
1/24/2019 8:13,14143306,287469773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG028MAL
1/24/2019 8:21,14143504,271269773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE004MAL
1/24/2019 8:24,14143512,219669773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE030EVT
1/24/2019 8:36,14143842,231869773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 8:37,14142740,242769773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE030EVT
1/24/2019 9:03,14144393,286299773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE030EVT
1/24/2019 9:06,14144546,265299773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 9:08,14144508,214699773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW039EVT
1/24/2019 9:12,14144692,255699773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL051MAL
1/24/2019 9:16,14144681,261699773,,US-CBT1-2-2-0,Classic - 2 meals per week for 2 people,COL042MAL
1/24/2019 9:17,4673961,291699773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW039EVT
1/24/2019 9:17,14144662,281699773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW039EVT
1/24/2019 9:13,14144682,211699773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CLE018MAL
1/24/2019 9:17,14144706,224999773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SEA069FIT
1/24/2019 9:13,14144733,294999773,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,IND027EVT
1/24/2019 9:16,14144751,219999773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN090FIT
1/24/2019 9:16,14144693,228999773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND041MAL
1/24/2019 9:22,14144936,247899773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK018EVT
1/24/2019 9:27,14145002,279799773,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,AUT031FIT
1/24/2019 9:37,14145157,295599773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA057EVT
1/24/2019 9:39,14145275,255199773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 9:39,14145251,261199773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN027FIT
1/24/2019 9:41,14145340,214399773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN008EVT
1/24/2019 9:42,14145413,249399773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG050EVT
1/24/2019 9:51,14145593,216289773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE014MAL
1/24/2019 9:57,14142801,227689773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE030EVT
1/24/2019 10:01,14145854,279989773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SNA005FIT
1/24/2019 10:11,14145919,266889773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PHA047EVT
1/24/2019 10:13,14146005,213889773,,US-VP-3-2-0,3 Meals (vegetarian) for 2 people,PHA047EVT
1/24/2019 10:13,3974088,244789773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PTG042MAL
1/24/2019 10:11,14145984,214789773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SNA035EVT
1/24/2019 10:16,14146211,274589773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PTG056MAL
1/24/2019 10:22,14146105,228189773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,DFW039EVT
1/24/2019 10:22,14146295,268189773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE030EVT
1/24/2019 10:24,14146358,285189773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL051MAL
1/24/2019 10:30,14146459,249389773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,IND027EVT
1/24/2019 10:29,14146492,237389773,,US-FMP-2-4-0,Family - 2 meals per week for 4 people,DEN002EVT
1/24/2019 10:29,14146489,245389773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND047EVT
1/24/2019 10:51,14146983,281979773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA025FIT
1/24/2019 10:57,14147123,271879773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE022EVT
1/24/2019 10:58,14147076,264779773,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,DFW039EVT
1/24/2019 10:58,14147155,274779773,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG051MAL
